CardID,CustID,Title,Country,Address,PostalCode,City,Mail,BirthDate,ValidityDate
71548768099,1.68111E+12,Male,Germany,8269 Turpis  Straße,81834,Ravensburg,In.ornare.sagittis@per.co.uk,15.01.1955,05.07.2013
58994904699,1.61503E+12,Male,Germany,408-6175 Dui.  St.,46085,Sangerhausen,Morbi@pedesagittisaugue.co.uk,21.08.1971,17.04.2016
85567458499,1.63402E+12,Comp.,Germany,Ap #248-4982 Fames  Straße,16806,Ingelheim,a.neque.Nullam@acurna.ca,18.10.1958,01.10.2013
73276427999,1.67003E+12,Female,United Kingdom,3797 Molestie  Av.,GE08 6FV,Torquay,id.risus@ultrices.ca,22.01.1946,26.01.2014
65664932099,1.69111E+12,Female,United States,Ap #374-7758 Tempor  Ave,41701,Carson City,luctus.lobortis@dictumultriciesligula.ca,15.01.1982,17.08.2015
79838582699,1.68802E+12,Female,Germany,"Postfach 854, 669 Fringilla  Rd.",61716,Itzehoe,nec.tempus@Suspendissenonleo.co.uk,15.03.1965,29.07.2013
31274556699,1.69512E+12,Comp.,United Kingdom,9432 Nulla  Straße,FI2 8AJ,Elgin,varius@Suspendissealiquet.org,05.05.1949,29.05.2015
71582711699,1.64711E+12,Female,Germany,"Postfach 564, 5011 Vulputate  Ave",26631,Eisenhüttenstadt,nascetur@Integervitaenibh.net,29.12.1991,05.02.2014
32819586299,1.65109E+12,Male,Germany,6874 Ultrices  Straße,58875,Koblenz,malesuada@lectussit.com,22.02.1983,21.10.2015
84237647199,1.67411E+12,Female,Germany,Ap #181-3931 Pellentesque St.,8112,Korbach,eget@interdumCurabiturdictum.net,19.04.1984,24.02.2016
40804109399,1.62705E+12,Female,United States,Ap #737-8687 Fermentum  Straße,20890,Naperville,ipsum@dolor.org,18.08.1994,25.02.2014
40606096099,1.65904E+12,Female,Germany,"Postfach 378, 1466 Lacus.  Avenue",26941,Hamburg,non.massa@acorci.net,29.10.1963,01.05.2016
12250261099,1.64407E+12,Female,Germany,"Postfach 480, 499 Dui.  St.",75809,Salzgitter,ut@ProinultricesDuis.net,13.05.1954,13.11.2013
66588777799,1.68405E+12,Male,United Kingdom,Ap #260-4178 Rutrum.  St.,GK0 1OX,Llanelli,metus.Aenean.sed@feugiatplaceratvelit.co.uk,11.04.1995,09.11.2013
14374117099,1.63201E+12,Comp.,Germany,2693 Velit.  Rd.,83006,Radebeul,Nunc.mauris.elit@nequenon.ca,09.10.1967,07.04.2016
99470078299,1.67203E+12,Male,Germany,475-4855 Donec  Av.,60025,Staßfurt,amet@turpis.edu,31.08.1946,29.07.2013
27924459899,1.61201E+12,Comp.,United Kingdom,"Postfach 469, 2101 Phasellus  St.",W91 9CN,Alloa,vehicula.et.rutrum@leoCras.ca,07.07.1947,09.11.2013
78973681999,1.63901E+12,Female,Germany,"Postfach 365, 7033 Facilisis  Ave",8536,Recklinghausen,pede.et.risus@convallis.net,07.03.1951,19.12.2013
13930565999,1.67609E+12,Comp.,Germany,2971 Scelerisque  Straße,74725,Berlin,ullamcorper.viverra@nuncQuisque.org,05.06.1995,27.06.2013
47209937199,1.69001E+12,Male,United Kingdom,Ap #412-2077 Enim.  Rd.,CH4Z 1GQ,Eyemouth,convallis.dolor.Quisque@Phasellusfermentumconvallis.edu,15.02.2002,13.09.2014
71754214299,1.61001E+12,Comp.,United States,Ap #685-3729 Faucibus  Av.,17587,Burlington,vel@Maurismolestie.ca,27.12.1989,09.01.2016
99355627099,1.65601E+12,Male,United Kingdom,"Postfach 106, 4889 Ut  Avenue",MV35 6MB,Renfrew,vitae.semper@Donectempus.ca,25.06.1995,28.10.2015
59301418999,1.62202E+12,Male,Germany,Ap #943-8061 Et  Avenue,1936,Bremerhaven,fames.ac@Ut.com,29.08.1964,15.12.2013
75304280399,1.60412E+12,Male,United States,Ap #958-5543 In  St.,46453,Chicago,porttitor.interdum.Sed@eu.co.uk,09.07.1951,18.02.2015
58929958299,1.63807E+12,Female,Germany,172-657 Nunc  Rd.,61860,Berlin,tellus.Nunc.lectus@lectusconvallisest.org,31.03.1967,30.09.2013
75951562599,1.63807E+12,Female,Germany,172-657 Nunc  Rd.,61860,Berlin,tellus.Nunc.lectus@lectusconvallisest.org,31.03.1967,30.09.2013
14379876899,1.64007E+12,Male,Germany,"Postfach 751, 9066 A,  Straße",14753,Aschersleben,Duis.at@DonecegestasDuis.ca,20.11.1957,09.03.2016
34759040699,1.62103E+12,Comp.,Germany,1418 Imperdiet  Straße,32871,Luckenwalde,lacus.Cras@estNunclaoreet.co.uk,20.06.1966,01.08.2013
43966876099,1.64007E+12,Male,Germany,"Postfach 751, 9066 A,  Straße",14753,Aschersleben,Duis.at@DonecegestasDuis.ca,20.11.1957,09.03.2016
48219264099,1.62103E+12,Comp.,Germany,1418 Imperdiet  Straße,32871,Luckenwalde,lacus.Cras@estNunclaoreet.co.uk,20.06.1966,01.08.2013
